start,end
Source:Al Jazeera English,"Summary:The article discusses India's changing stance on the Israel-Palestine conflict, highlighting how pro-Israel sentiment has increased while restrictions on pro-Palestinian protests have intensified. It also explores historical context and current diplomatic relations between India and Israel."
Author:Kaushik Raj,"Summary:The article discusses India's changing stance on the Israel-Palestine conflict, highlighting how pro-Israel sentiment has increased while restrictions on pro-Palestinian protests have intensified. It also explores historical context and current diplomatic relations between India and Israel."
Category:International,"Summary:The article discusses India's changing stance on the Israel-Palestine conflict, highlighting how pro-Israel sentiment has increased while restrictions on pro-Palestinian protests have intensified. It also explores historical context and current diplomatic relations between India and Israel."
Character:Apoorvanand,"Summary:The article discusses India's changing stance on the Israel-Palestine conflict, highlighting how pro-Israel sentiment has increased while restrictions on pro-Palestinian protests have intensified. It also explores historical context and current diplomatic relations between India and Israel."
Character:Zikrur Rahman,"Summary:The article discusses India's changing stance on the Israel-Palestine conflict, highlighting how pro-Israel sentiment has increased while restrictions on pro-Palestinian protests have intensified. It also explores historical context and current diplomatic relations between India and Israel."
Character:Modi,"Summary:The article discusses India's changing stance on the Israel-Palestine conflict, highlighting how pro-Israel sentiment has increased while restrictions on pro-Palestinian protests have intensified. It also explores historical context and current diplomatic relations between India and Israel."
Source:The Times of India,"Summary:India supported Bangladesh's Saima Wazed for the WHO Southeast Asia Region director position, aiding her victory over Nepal’s Dr. Shambhu Acharya. The decision was influenced by Bangladesh PM Sheikh Hasina's efforts to combat Islamic terrorism and China's interest in winning her support."
Author:Durgesh Nandan Jha,"Summary:India supported Bangladesh's Saima Wazed for the WHO Southeast Asia Region director position, aiding her victory over Nepal’s Dr. Shambhu Acharya. The decision was influenced by Bangladesh PM Sheikh Hasina's efforts to combat Islamic terrorism and China's interest in winning her support."
Category:Politics,"Summary:India supported Bangladesh's Saima Wazed for the WHO Southeast Asia Region director position, aiding her victory over Nepal’s Dr. Shambhu Acharya. The decision was influenced by Bangladesh PM Sheikh Hasina's efforts to combat Islamic terrorism and China's interest in winning her support."
Character:Saima Wazed,"Summary:India supported Bangladesh's Saima Wazed for the WHO Southeast Asia Region director position, aiding her victory over Nepal’s Dr. Shambhu Acharya. The decision was influenced by Bangladesh PM Sheikh Hasina's efforts to combat Islamic terrorism and China's interest in winning her support."
Character:Sheikh Hasina,"Summary:India supported Bangladesh's Saima Wazed for the WHO Southeast Asia Region director position, aiding her victory over Nepal’s Dr. Shambhu Acharya. The decision was influenced by Bangladesh PM Sheikh Hasina's efforts to combat Islamic terrorism and China's interest in winning her support."
Character:Dr. Shambhu Acharya,"Summary:India supported Bangladesh's Saima Wazed for the WHO Southeast Asia Region director position, aiding her victory over Nepal’s Dr. Shambhu Acharya. The decision was influenced by Bangladesh PM Sheikh Hasina's efforts to combat Islamic terrorism and China's interest in winning her support."
